year,title,bechdel_score,pass_bechdel,budget_2013,domgross_2013,intgross_2013,decade,imdb_id,language,metascore,imdb_rating,award_winner,runtime,profit,ROI,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,history,horror,music,musical,mystery,romance,sci_fi,sport,thriller,war,western
2013,Safe Haven,Passes Bechdel,TRUE,28000000,71399120,93943623,2010 - present,1702439,"English, Portuguese",34,6.7,FALSE,115,65943623,2.355129392857143,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Saving Mr. Banks,Passes Bechdel,TRUE,35000000,82834332,100734332,2010 - present,2140373,English,65,7.7,FALSE,125,65734332,1.8781237714285715,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Side Effects,Passes Bechdel,TRUE,30000000,32172757,60288363,2010 - present,2053463,"English, French",75,7.1,FALSE,106,30288363,1.0096121,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Star Trek Into Darkness,Don't talk to each other,FALSE,190000000,228778661,466978661,2010 - present,1408101,"English, Klingon",72,7.9,FALSE,132,276978661,1.4577824263157895,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Texas Chainsaw 3D,Passes Bechdel,TRUE,20000000,34341945,39093317,2010 - present,1572315,English,NA,4.8,FALSE,92,19093317,0.95466585,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,The Big Wedding,Passes Bechdel,TRUE,32500000,21819348,35770721,2010 - present,1931435,"English, Spanish, Latin",28,5.6,FALSE,89,3270721,0.10063756923076923,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,The Book Thief,Passes Bechdel,TRUE,19000000,21345525,62045525,2010 - present,0816442,"English, German",53,7.7,FALSE,131,43045525,2.265553947368421,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,The Call,Passes Bechdel,TRUE,13000000,51872378,58938768,2010 - present,1911644,English,51,6.7,FALSE,94,45938768,3.5337513846153845,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,The Conjuring,Passes Bechdel,TRUE,20000000,137400141,318000141,2010 - present,1457767,"English, Latin",68,7.6,FALSE,112,298000141,14.90000705,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,The Counselor,Passes Bechdel,TRUE,25000000,16973715,70373715,2010 - present,2193215,English,48,5.5,FALSE,117,45373715,1.8149486,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
